ID,full_year_008,Date of publication(260_c_un_2641_c)
20774,1999,19--
24428,2000,1997-2002
45020,1992,199-
69620,1993,1993-1994
92571,1994,1995-1996
95362,1995,1996
105613,2007,199-
108458,2007,200-
109089,1997,199-
134787,2007,2006
170497,2008,"2003, 2011"
180957,2000,1997-2006
181567,2000,2000-2007
191837,2001,2003
194009,2006,2007
194330,2006,izdošanas gads nav zināms
201760,2007,2006
211650,2008,199-
214047,2001,19--
214561,1985,1969
216888,1939,196-
216890,1939,19--
217097,1921,19--
217950,1886,19--
218414,1935,1933-1935
219626,1943,1927
219713,1943,19--
219910,2006,19--
219962,2006,izdošanas gads nav zināms
219967,2006,izdošanas gads nav zināms
219969,2006,izdošanas gads nav zināms
219970,2006,izdošanas gads nav zināms
220575,1935,19--
220576,1935,19--
220779,1912,izdošanas gads nav zināms
221347,1970,19--
222212,1970,2002
222544,1983,1971
222548,1983,1982
222549,2006,1974
224086,1993,1998
224278,1977,1974
224812,1987,2002-2004
225050,1987,izdošanas gads nav zināms
225642,1922,19--
225922,1910,19--
226015,1910,19--
226074,2002,200-
229880,1978,izdošanas gads nav zināms
231014,1938,izdošanas gads nav zināms
231110,1984,izdošanas gads nav zināms
231120,1984,izdošanas gads nav zināms
231124,1984,izdošanas gads nav zināms
231320,1984,19--
232199,1939,izdošanas gads nav zināms
233963,2002,19--
234999,1958,1969
235084,1890,190-
236012,1971,1895-1904
236014,1971,izdošanas gads nav zināms
236015,1971,izdošanas gads nav zināms
236016,1971,19--
236131,1907,19--
236132,1907,19--
236133,1907,19--
236200,1898,19--
236203,1898,19--
236206,1898,19--
236211,1929,19--
236213,1929,19--
236214,1929,19--
236215,1929,19--
236216,1929,19--
236217,1929,19--
236218,1929,19--
236219,1929,19--
236220,1929,19--
236221,1929,nan
236222,1929,19--
236280,1906,izdošanas gads nav zināms
236370,1937,19--
236417,1943,19--
236525,2002,19--
236555,2002,izdošanas gads nav zināms
236559,2002,19--
236588,1943,19--
236590,1927,19--
236620,1894,19--
236623,1894,19--
236633,1940,19--
236634,1940,19--
236635,1940,19--
236636,1940,19--
236638,1940,19--
236639,1940,19--
236644,1940,19--
236646,1940,19--
236649,1925,19--
236658,1942,19--
236792,1942,izdošanas gads nav zināms
236848,1963,19--
237069,1935,1934
237070,1935,19--
237071,1935,19--
237102,2002,19--
237113,2002,19--
237473,1932,izdošanas gads nav zināms
237688,1944,19--
237711,1944,izdošanas gads nav zināms
237725,1943,19--
237726,1943,19--
237733,1942,1943
237734,1942,19--
237735,1942,19--
237740,1943,18--
237748,1939,19--
237750,1939,19--
237756,1939,19--
237770,1925,19--
237783,1925,19--
237787,1925,19--
238370,1936,1938
238550,1929,1929/1930
238746,1924,19--
238910,1924,19--
238915,1924,192-
239458,1924,1915
239554,1924,19--
239720,1926,18--
239725,1926,1908
239733,1926,19--
239735,1926,19--
239753,1924,19--
240105,1926,izdošanas gads nav zināms
240215,2003,2003-2004
240603,2003,2003-2004
242710,1930,izdošanas gads nav zināms
242712,1930,19--
243199,1930,19--
243202,1930,192-
243205,1939,1935-1939
243213,1938,19--
243214,1938,19--
243215,1938,19--
243217,1938,19--
243224,1937,19--
243225,1937,19--
243226,1937,19--
243229,1937,19--
243230,1937,19--
243231,1937,19--
243232,1937,19--
243233,1937,19--
243236,1937,19--
243238,1937,19--
243239,1937,19--
243240,1937,19--
243260,1938,1937
243263,1939,19--
243266,1939,19--
